,0
0,0.0007243650369956819
1,0.006080263327868256
2,0.008785918391630301
3,0.015866816080495963
4,0.024430114812538276
5,0.028784932611418554
6,0.040884496686888525
7,0.04782188688633872
8,0.05137515539517168
9,0.03534591579046406
10,0.018613378630309804
11,0.017065084664548036
12,0.01403311188103723
13,0.01293987050408224
14,0.007368128905530846
15,0.0037124987508429796
16,0.007740881110801068
17,0.01362319178268559
18,0.010462864109727216
19,0.017899142376712113
20,0.025892187630543934
21,0.03434958286949846
22,0.043181831719445396
23,0.04910382325532009
24,0.048717614959497946
25,0.05181900946820367
26,0.05509890498685055
27,0.051977736637240535
28,0.06207907268258389
29,0.06572978359753967
30,0.05970062291035888
31,0.060375585907795404
32,0.057891635914317896
33,0.055520144984370357
34,0.0500331928495501
35,0.04795869696335714
36,0.05910770384991754
37,0.0375689182125154
38,0.03585371912502852
39,0.04409164913365099
